studentid,userid
620000226,226
620000227,227
620000228,228
620000229,229
620000230,230
620000231,231
620000232,232
620000233,233
620000234,234
620000235,235
620000236,236
620000237,237
620000238,238
620000239,239
620000240,240
620000241,241
620000242,242
620000243,243
620000244,244
620000245,245
620000246,246
620000247,247
620000248,248
620000249,249
620000250,250
620000251,251
620000252,252
620000253,253
620000254,254
620000255,255
620000256,256
620000257,257
620000258,258
620000259,259
620000260,260
620000261,261
620000262,262
620000263,263
620000264,264
620000265,265
620000266,266
620000267,267
620000268,268
620000269,269
620000270,270
620000271,271
620000272,272
620000273,273
620000274,274
620000275,275
620000276,276
620000277,277
620000278,278
620000279,279
620000280,280
620000281,281
620000282,282
620000283,283
620000284,284
620000285,285
620000286,286
620000287,287
620000288,288
620000289,289
620000290,290
620000291,291
620000292,292
620000293,293
620000294,294
620000295,295
620000296,296
620000297,297
620000298,298
620000299,299
620000300,300
620000301,301
620000302,302
620000303,303
620000304,304
620000305,305
620000306,306
620000307,307
620000308,308
620000309,309
620000310,310
620000311,311
620000312,312
620000313,313
620000314,314
620000315,315
620000316,316
620000317,317
620000318,318
620000319,319
620000320,320
620000321,321
620000322,322
620000323,323
620000324,324
620000325,325
620000326,326
620000327,327
620000328,328
620000329,329
620000330,330
620000331,331
620000332,332
620000333,333
620000334,334
620000335,335
620000336,336
620000337,337
620000338,338
620000339,339
620000340,340
620000341,341
620000342,342
620000343,343
620000344,344
620000345,345
620000346,346
620000347,347
620000348,348
620000349,349
620000350,350
620000351,351
620000352,352
620000353,353
620000354,354
620000355,355
620000356,356
620000357,357
620000358,358
620000359,359
620000360,360
620000361,361
620000362,362
620000363,363
620000364,364
620000365,365
620000366,366
620000367,367
620000368,368
620000369,369
620000370,370
620000371,371
620000372,372
620000373,373
620000374,374
620000375,375
620000376,376
620000377,377
620000378,378
620000379,379
620000380,380
620000381,381
620000382,382
620000383,383
620000384,384
620000385,385
620000386,386
620000387,387
620000388,388
620000389,389
620000390,390
620000391,391
620000392,392
620000393,393
620000394,394
620000395,395
620000396,396
620000397,397
620000398,398
620000399,399
620000400,400
620000401,401
620000402,402
620000403,403
620000404,404
620000405,405
620000406,406
620000407,407
620000408,408
620000409,409
620000410,410
620000411,411
620000412,412
620000413,413
620000414,414
620000415,415
620000416,416
620000417,417
620000418,418
620000419,419
620000420,420
620000421,421
620000422,422
620000423,423
620000424,424
620000425,425
620000426,426
620000427,427
620000428,428
620000429,429
620000430,430
620000431,431
620000432,432
620000433,433
620000434,434
620000435,435
620000436,436
620000437,437
620000438,438
620000439,439
620000440,440
620000441,441
620000442,442
620000443,443
620000444,444
620000445,445
620000446,446
620000447,447
620000448,448
620000449,449
620000450,450
620000451,451
620000452,452
620000453,453
620000454,454
620000455,455
620000456,456
620000457,457
620000458,458
620000459,459
620000460,460
620000461,461
620000462,462
620000463,463
620000464,464
620000465,465
620000466,466
620000467,467
620000468,468
620000469,469
620000470,470
620000471,471
620000472,472
620000473,473
620000474,474
620000475,475
620000476,476
620000477,477
620000478,478
620000479,479
620000480,480
620000481,481
620000482,482
620000483,483
620000484,484
620000485,485
620000486,486
620000487,487
620000488,488
620000489,489
620000490,490
620000491,491
620000492,492
620000493,493
620000494,494
620000495,495
620000496,496
620000497,497
620000498,498
620000499,499
620000500,500
620000501,501
620000502,502
620000503,503
620000504,504
620000505,505
620000506,506
620000507,507
620000508,508
620000509,509
620000510,510
620000511,511
620000512,512
620000513,513
620000514,514
620000515,515
620000516,516
620000517,517
620000518,518
620000519,519
620000520,520
620000521,521
620000522,522
620000523,523
620000524,524
620000525,525
620000526,526
620000527,527
620000528,528
620000529,529
620000530,530
620000531,531
620000532,532
620000533,533
620000534,534
620000535,535
620000536,536
620000537,537
620000538,538
620000539,539
620000540,540
620000541,541
620000542,542
620000543,543
620000544,544
620000545,545
620000546,546
620000547,547
620000548,548
620000549,549
620000550,550
620000551,551
620000552,552
620000553,553
620000554,554
620000555,555
620000556,556
620000557,557
620000558,558
620000559,559
620000560,560
620000561,561
620000562,562
620000563,563
620000564,564
620000565,565
620000566,566
620000567,567
620000568,568
620000569,569
620000570,570
620000571,571
620000572,572
620000573,573
620000574,574
620000575,575
620000576,576
620000577,577
620000578,578
620000579,579
620000580,580
620000581,581
620000582,582
620000583,583
620000584,584
620000585,585
620000586,586
620000587,587
620000588,588
620000589,589
620000590,590
620000591,591
620000592,592
620000593,593
620000594,594
620000595,595
620000596,596
620000597,597
620000598,598
620000599,599
620000600,600
620000601,601
620000602,602
620000603,603
620000604,604
620000605,605
620000606,606
620000607,607
620000608,608
620000609,609
620000610,610
620000611,611
620000612,612
620000613,613
620000614,614
620000615,615
620000616,616
620000617,617
620000618,618
620000619,619
620000620,620
620000621,621
620000622,622
620000623,623
620000624,624
620000625,625
620000626,626
620000627,627
620000628,628
620000629,629
620000630,630
620000631,631
620000632,632
620000633,633
620000634,634
620000635,635
620000636,636
620000637,637
620000638,638
620000639,639
620000640,640
620000641,641
620000642,642
620000643,643
620000644,644
620000645,645
620000646,646
620000647,647
620000648,648
620000649,649
620000650,650
620000651,651
620000652,652
620000653,653
620000654,654
620000655,655
620000656,656
620000657,657
620000658,658
620000659,659
620000660,660
620000661,661
620000662,662
620000663,663
620000664,664
620000665,665
620000666,666
620000667,667
620000668,668
620000669,669
620000670,670
620000671,671
620000672,672
620000673,673
620000674,674
620000675,675
620000676,676
620000677,677
620000678,678
620000679,679
620000680,680
620000681,681
620000682,682
620000683,683
620000684,684
620000685,685
620000686,686
620000687,687
620000688,688
620000689,689
620000690,690
620000691,691
620000692,692
620000693,693
620000694,694
620000695,695
620000696,696
620000697,697
620000698,698
620000699,699
620000700,700
620000701,701
620000702,702
620000703,703
620000704,704
620000705,705
620000706,706
620000707,707
620000708,708
620000709,709
620000710,710
620000711,711
620000712,712
620000713,713
620000714,714
620000715,715
620000716,716
620000717,717
620000718,718
620000719,719
620000720,720
620000721,721
620000722,722
620000723,723
620000724,724
620000725,725
620000726,726
620000727,727
620000728,728
620000729,729
620000730,730
620000731,731
620000732,732
620000733,733
620000734,734
620000735,735
620000736,736
620000737,737
620000738,738
620000739,739
620000740,740
620000741,741
620000742,742
620000743,743
620000744,744
620000745,745
620000746,746
620000747,747
620000748,748
620000749,749
620000750,750
620000751,751
620000752,752
620000753,753
620000754,754
620000755,755
620000756,756
620000757,757
620000758,758
620000759,759
620000760,760
620000761,761
620000762,762
620000763,763
620000764,764
620000765,765
620000766,766
620000767,767
620000768,768
620000769,769
620000770,770
620000771,771
620000772,772
620000773,773
620000774,774
620000775,775
620000776,776
620000777,777
620000778,778
620000779,779
620000780,780
620000781,781
620000782,782
620000783,783
620000784,784
620000785,785
620000786,786
620000787,787
620000788,788
620000789,789
620000790,790
620000791,791
620000792,792
620000793,793
620000794,794
620000795,795
620000796,796
620000797,797
620000798,798
620000799,799
620000800,800
620000801,801
620000802,802
620000803,803
620000804,804
620000805,805
620000806,806
620000807,807
620000808,808
620000809,809
620000810,810
620000811,811
620000812,812
620000813,813
620000814,814
620000815,815
620000816,816
620000817,817
620000818,818
620000819,819
620000820,820
620000821,821
620000822,822
620000823,823
620000824,824
620000825,825
620000826,826
620000827,827
620000828,828
620000829,829
620000830,830
620000831,831
620000832,832
620000833,833
620000834,834
620000835,835
620000836,836
620000837,837
620000838,838
620000839,839
620000840,840
620000841,841
620000842,842
620000843,843
620000844,844
620000845,845
620000846,846
620000847,847
620000848,848
620000849,849
620000850,850
620000851,851
620000852,852
620000853,853
620000854,854
620000855,855
620000856,856
620000857,857
620000858,858
620000859,859
620000860,860
620000861,861
620000862,862
620000863,863
620000864,864
620000865,865
620000866,866
620000867,867
620000868,868
620000869,869
620000870,870
620000871,871
620000872,872
620000873,873
620000874,874
620000875,875
620000876,876
620000877,877
620000878,878
620000879,879
620000880,880
620000881,881
620000882,882
620000883,883
620000884,884
620000885,885
620000886,886
620000887,887
620000888,888
620000889,889
620000890,890
620000891,891
620000892,892
620000893,893
620000894,894
620000895,895
620000896,896
620000897,897
620000898,898
620000899,899
620000900,900
620000901,901
620000902,902
620000903,903
620000904,904
620000905,905
620000906,906
620000907,907
620000908,908
620000909,909
620000910,910
620000911,911
620000912,912
620000913,913
620000914,914
620000915,915
620000916,916
620000917,917
620000918,918
620000919,919
620000920,920
620000921,921
620000922,922
620000923,923
620000924,924
620000925,925
620000926,926
620000927,927
620000928,928
620000929,929
620000930,930
620000931,931
620000932,932
620000933,933
620000934,934
620000935,935
620000936,936
620000937,937
620000938,938
620000939,939
620000940,940
620000941,941
620000942,942
620000943,943
620000944,944
620000945,945
620000946,946
620000947,947
620000948,948
620000949,949
620000950,950
620000951,951
620000952,952
620000953,953
620000954,954
620000955,955
620000956,956
620000957,957
620000958,958
620000959,959
620000960,960
620000961,961
620000962,962
620000963,963
620000964,964
620000965,965
620000966,966
620000967,967
620000968,968
620000969,969
620000970,970
620000971,971
620000972,972
620000973,973
620000974,974
620000975,975
620000976,976
620000977,977
620000978,978
620000979,979
620000980,980
620000981,981
620000982,982
620000983,983
620000984,984
620000985,985
620000986,986
620000987,987
620000988,988
620000989,989
620000990,990
620000991,991
620000992,992
620000993,993
620000994,994
620000995,995
620000996,996
620000997,997
620000998,998
620000999,999
620001000,1000
620001001,1001
620001002,1002
620001003,1003
620001004,1004
620001005,1005
620001006,1006
620001007,1007
620001008,1008
620001009,1009
620001010,1010
620001011,1011
620001012,1012
620001013,1013
620001014,1014
620001015,1015
620001016,1016
620001017,1017
620001018,1018
620001019,1019
620001020,1020
620001021,1021
620001022,1022
620001023,1023
620001024,1024
620001025,1025
620001026,1026
620001027,1027
620001028,1028
620001029,1029
620001030,1030
620001031,1031
620001032,1032
620001033,1033
620001034,1034
620001035,1035
620001036,1036
620001037,1037
620001038,1038
620001039,1039
620001040,1040
620001041,1041
620001042,1042
620001043,1043
620001044,1044
620001045,1045
620001046,1046
620001047,1047
620001048,1048
620001049,1049
620001050,1050
620001051,1051
620001052,1052
620001053,1053
620001054,1054
620001055,1055
620001056,1056
620001057,1057
620001058,1058
620001059,1059
620001060,1060
620001061,1061
620001062,1062
620001063,1063
620001064,1064
620001065,1065
620001066,1066
620001067,1067
620001068,1068
620001069,1069
620001070,1070
620001071,1071
620001072,1072
620001073,1073
620001074,1074
620001075,1075
620001076,1076
620001077,1077
620001078,1078
620001079,1079
620001080,1080
620001081,1081
620001082,1082
620001083,1083
620001084,1084
620001085,1085
620001086,1086
620001087,1087
620001088,1088
620001089,1089
620001090,1090
620001091,1091
620001092,1092
620001093,1093
620001094,1094
620001095,1095
620001096,1096
620001097,1097
620001098,1098
620001099,1099
620001100,1100
620001101,1101
620001102,1102
620001103,1103
620001104,1104
620001105,1105
620001106,1106
620001107,1107
620001108,1108
620001109,1109
620001110,1110
620001111,1111
620001112,1112
620001113,1113
620001114,1114
620001115,1115
620001116,1116
620001117,1117
620001118,1118
620001119,1119
620001120,1120
620001121,1121
620001122,1122
620001123,1123
620001124,1124
620001125,1125
620001126,1126
620001127,1127
620001128,1128
620001129,1129
620001130,1130
620001131,1131
620001132,1132
620001133,1133
620001134,1134
620001135,1135
620001136,1136
620001137,1137
620001138,1138
620001139,1139
620001140,1140
620001141,1141
620001142,1142
620001143,1143
620001144,1144
620001145,1145
620001146,1146
620001147,1147
620001148,1148
620001149,1149
620001150,1150
620001151,1151
620001152,1152
620001153,1153
620001154,1154
620001155,1155
620001156,1156
620001157,1157
620001158,1158
620001159,1159
620001160,1160
620001161,1161
620001162,1162
620001163,1163
620001164,1164
620001165,1165
620001166,1166
620001167,1167
620001168,1168
620001169,1169
620001170,1170
620001171,1171
620001172,1172
620001173,1173
620001174,1174
620001175,1175
620001176,1176
620001177,1177
620001178,1178
620001179,1179
620001180,1180
620001181,1181
620001182,1182
620001183,1183
620001184,1184
620001185,1185
620001186,1186
620001187,1187
620001188,1188
620001189,1189
620001190,1190
620001191,1191
620001192,1192
620001193,1193
620001194,1194
620001195,1195
620001196,1196
620001197,1197
620001198,1198
620001199,1199
620001200,1200
620001201,1201
620001202,1202
620001203,1203
620001204,1204
620001205,1205
620001206,1206
620001207,1207
620001208,1208
620001209,1209
620001210,1210
620001211,1211
620001212,1212
620001213,1213
620001214,1214
620001215,1215
620001216,1216
620001217,1217
620001218,1218
620001219,1219
620001220,1220
620001221,1221
620001222,1222
620001223,1223
620001224,1224
620001225,1225
620001226,1226
620001227,1227
620001228,1228
620001229,1229
620001230,1230
620001231,1231
620001232,1232
620001233,1233
620001234,1234
620001235,1235
620001236,1236
620001237,1237
620001238,1238
620001239,1239
620001240,1240
620001241,1241
620001242,1242
620001243,1243
620001244,1244
620001245,1245
620001246,1246
620001247,1247
620001248,1248
620001249,1249
620001250,1250
620001251,1251
620001252,1252
620001253,1253
620001254,1254
620001255,1255
620001256,1256
620001257,1257
620001258,1258
620001259,1259
620001260,1260
620001261,1261
620001262,1262
620001263,1263
620001264,1264
620001265,1265
620001266,1266
620001267,1267
620001268,1268
620001269,1269
620001270,1270
620001271,1271
620001272,1272
620001273,1273
620001274,1274
620001275,1275
620001276,1276
620001277,1277
620001278,1278
620001279,1279
620001280,1280
620001281,1281
620001282,1282
620001283,1283
620001284,1284
620001285,1285
620001286,1286
620001287,1287
620001288,1288
620001289,1289
620001290,1290
620001291,1291
620001292,1292
620001293,1293
620001294,1294
620001295,1295
620001296,1296
620001297,1297
620001298,1298
620001299,1299
620001300,1300
620001301,1301
620001302,1302
620001303,1303
620001304,1304
620001305,1305
620001306,1306
620001307,1307
620001308,1308
620001309,1309
620001310,1310
620001311,1311
620001312,1312
620001313,1313
620001314,1314
620001315,1315
620001316,1316
620001317,1317
620001318,1318
620001319,1319
620001320,1320
620001321,1321
620001322,1322
620001323,1323
620001324,1324
620001325,1325
620001326,1326
620001327,1327
620001328,1328
620001329,1329
620001330,1330
620001331,1331
620001332,1332
620001333,1333
620001334,1334
620001335,1335
620001336,1336
620001337,1337
620001338,1338
620001339,1339
620001340,1340
620001341,1341
620001342,1342
620001343,1343
620001344,1344
620001345,1345
620001346,1346
620001347,1347
620001348,1348
620001349,1349
620001350,1350
620001351,1351
620001352,1352
620001353,1353
620001354,1354
620001355,1355
620001356,1356
620001357,1357
620001358,1358
620001359,1359
620001360,1360
620001361,1361
620001362,1362
620001363,1363
620001364,1364
620001365,1365
620001366,1366
620001367,1367
620001368,1368
620001369,1369
620001370,1370
620001371,1371
620001372,1372
620001373,1373
620001374,1374
620001375,1375
620001376,1376
620001377,1377
620001378,1378
620001379,1379
620001380,1380
620001381,1381
620001382,1382
620001383,1383
620001384,1384
620001385,1385
620001386,1386
620001387,1387
620001388,1388
620001389,1389
620001390,1390
620001391,1391
620001392,1392
620001393,1393
620001394,1394
620001395,1395
620001396,1396
620001397,1397
620001398,1398
620001399,1399
620001400,1400
620001401,1401
620001402,1402
620001403,1403
620001404,1404
620001405,1405
620001406,1406
620001407,1407
620001408,1408
620001409,1409
620001410,1410
620001411,1411
620001412,1412
620001413,1413
620001414,1414
620001415,1415
620001416,1416
620001417,1417
620001418,1418
620001419,1419
620001420,1420
620001421,1421
620001422,1422
620001423,1423
620001424,1424
620001425,1425
620001426,1426
620001427,1427
620001428,1428
620001429,1429
620001430,1430
620001431,1431
620001432,1432
620001433,1433
620001434,1434
620001435,1435
620001436,1436
620001437,1437
620001438,1438
620001439,1439
620001440,1440
620001441,1441
620001442,1442
620001443,1443
620001444,1444
620001445,1445
620001446,1446
620001447,1447
620001448,1448
620001449,1449
620001450,1450
620001451,1451
620001452,1452
620001453,1453
620001454,1454
620001455,1455
620001456,1456
620001457,1457
620001458,1458
620001459,1459
620001460,1460
620001461,1461
620001462,1462
620001463,1463
620001464,1464
620001465,1465
620001466,1466
620001467,1467
620001468,1468
620001469,1469
620001470,1470
620001471,1471
620001472,1472
620001473,1473
620001474,1474
620001475,1475
620001476,1476
620001477,1477
620001478,1478
620001479,1479
620001480,1480
620001481,1481
620001482,1482
620001483,1483
620001484,1484
620001485,1485
620001486,1486
620001487,1487
620001488,1488
620001489,1489
620001490,1490
620001491,1491
620001492,1492
620001493,1493
620001494,1494
620001495,1495
620001496,1496
620001497,1497
620001498,1498
620001499,1499
620001500,1500
620001501,1501
620001502,1502
620001503,1503
620001504,1504
620001505,1505
620001506,1506
620001507,1507
620001508,1508
620001509,1509
620001510,1510
620001511,1511
620001512,1512
620001513,1513
620001514,1514
620001515,1515
620001516,1516
620001517,1517
620001518,1518
620001519,1519
620001520,1520
620001521,1521
620001522,1522
620001523,1523
620001524,1524
620001525,1525
620001526,1526
620001527,1527
620001528,1528
620001529,1529
620001530,1530
620001531,1531
620001532,1532
620001533,1533
620001534,1534
620001535,1535
620001536,1536
620001537,1537
620001538,1538
620001539,1539
620001540,1540
620001541,1541
620001542,1542
620001543,1543
620001544,1544
620001545,1545
620001546,1546
620001547,1547
620001548,1548
620001549,1549
620001550,1550
620001551,1551
620001552,1552
620001553,1553
620001554,1554
620001555,1555
620001556,1556
620001557,1557
620001558,1558
620001559,1559
620001560,1560
620001561,1561
620001562,1562
620001563,1563
620001564,1564
620001565,1565
620001566,1566
620001567,1567
620001568,1568
620001569,1569
620001570,1570
620001571,1571
620001572,1572
620001573,1573
620001574,1574
620001575,1575
620001576,1576
620001577,1577
620001578,1578
620001579,1579
620001580,1580
620001581,1581
620001582,1582
620001583,1583
620001584,1584
620001585,1585
620001586,1586
620001587,1587
620001588,1588
620001589,1589
620001590,1590
620001591,1591
620001592,1592
620001593,1593
620001594,1594
620001595,1595
620001596,1596
620001597,1597
620001598,1598
620001599,1599
620001600,1600
620001601,1601
620001602,1602
620001603,1603
620001604,1604
620001605,1605
620001606,1606
620001607,1607
620001608,1608
620001609,1609
620001610,1610
620001611,1611
620001612,1612
620001613,1613
620001614,1614
620001615,1615
620001616,1616
620001617,1617
620001618,1618
620001619,1619
620001620,1620
620001621,1621
620001622,1622
620001623,1623
620001624,1624
620001625,1625
620001626,1626
620001627,1627
620001628,1628
620001629,1629
620001630,1630
620001631,1631
620001632,1632
620001633,1633
620001634,1634
620001635,1635
620001636,1636
620001637,1637
620001638,1638
620001639,1639
620001640,1640
620001641,1641
620001642,1642
620001643,1643
620001644,1644
620001645,1645
620001646,1646
620001647,1647
620001648,1648
620001649,1649
620001650,1650
620001651,1651
620001652,1652
620001653,1653
620001654,1654
620001655,1655
620001656,1656
620001657,1657
620001658,1658
620001659,1659
620001660,1660
620001661,1661
620001662,1662
620001663,1663
620001664,1664
620001665,1665
620001666,1666
620001667,1667
620001668,1668
620001669,1669
620001670,1670
620001671,1671
620001672,1672
620001673,1673
620001674,1674
620001675,1675
620001676,1676
620001677,1677
620001678,1678
620001679,1679
620001680,1680
620001681,1681
620001682,1682
620001683,1683
620001684,1684
620001685,1685
620001686,1686
620001687,1687
620001688,1688
620001689,1689
620001690,1690
620001691,1691
620001692,1692
620001693,1693
620001694,1694
620001695,1695
620001696,1696
620001697,1697
620001698,1698
620001699,1699
620001700,1700
620001701,1701
620001702,1702
620001703,1703
620001704,1704
620001705,1705
620001706,1706
620001707,1707
620001708,1708
620001709,1709
620001710,1710
620001711,1711
620001712,1712
620001713,1713
620001714,1714
620001715,1715
620001716,1716
620001717,1717
620001718,1718
620001719,1719
620001720,1720
620001721,1721
620001722,1722
620001723,1723
620001724,1724
620001725,1725
620001726,1726
620001727,1727
620001728,1728
620001729,1729
620001730,1730
620001731,1731
620001732,1732
620001733,1733
620001734,1734
620001735,1735
620001736,1736
620001737,1737
620001738,1738
620001739,1739
620001740,1740
620001741,1741
620001742,1742
620001743,1743
620001744,1744
620001745,1745
620001746,1746
620001747,1747
620001748,1748
620001749,1749
620001750,1750
620001751,1751
620001752,1752
620001753,1753
620001754,1754
620001755,1755
620001756,1756
620001757,1757
620001758,1758
620001759,1759
620001760,1760
620001761,1761
620001762,1762
620001763,1763
620001764,1764
620001765,1765
620001766,1766
620001767,1767
620001768,1768
620001769,1769
620001770,1770
620001771,1771
620001772,1772
620001773,1773
620001774,1774
620001775,1775
620001776,1776
620001777,1777
620001778,1778
620001779,1779
620001780,1780
620001781,1781
620001782,1782
620001783,1783
620001784,1784
620001785,1785
620001786,1786
620001787,1787
620001788,1788
620001789,1789
620001790,1790
620001791,1791
620001792,1792
620001793,1793
620001794,1794
620001795,1795
620001796,1796
620001797,1797
620001798,1798
620001799,1799
620001800,1800
620001801,1801
620001802,1802
620001803,1803
620001804,1804
620001805,1805
620001806,1806
620001807,1807
620001808,1808
620001809,1809
620001810,1810
620001811,1811
620001812,1812
620001813,1813
620001814,1814
620001815,1815
620001816,1816
620001817,1817
620001818,1818
620001819,1819
620001820,1820
620001821,1821
620001822,1822
620001823,1823
620001824,1824
620001825,1825
620001826,1826
620001827,1827
620001828,1828
620001829,1829
620001830,1830
620001831,1831
620001832,1832
620001833,1833
620001834,1834
620001835,1835
620001836,1836
620001837,1837
620001838,1838
620001839,1839
620001840,1840
620001841,1841
620001842,1842
620001843,1843
620001844,1844
620001845,1845
620001846,1846
620001847,1847
620001848,1848
620001849,1849
620001850,1850
620001851,1851
620001852,1852
620001853,1853
620001854,1854
620001855,1855
620001856,1856
620001857,1857
620001858,1858
620001859,1859
620001860,1860
620001861,1861
620001862,1862
620001863,1863
620001864,1864
620001865,1865
620001866,1866
620001867,1867
620001868,1868
620001869,1869
620001870,1870
620001871,1871
620001872,1872
620001873,1873
620001874,1874
620001875,1875
620001876,1876
620001877,1877
620001878,1878
620001879,1879
620001880,1880
620001881,1881
620001882,1882
620001883,1883
620001884,1884
620001885,1885
620001886,1886
620001887,1887
620001888,1888
620001889,1889
620001890,1890
620001891,1891
620001892,1892
620001893,1893
620001894,1894
620001895,1895
620001896,1896
620001897,1897
620001898,1898
620001899,1899
620001900,1900
620001901,1901
620001902,1902
620001903,1903
620001904,1904
620001905,1905
620001906,1906
620001907,1907
620001908,1908
620001909,1909
620001910,1910
620001911,1911
620001912,1912
620001913,1913
620001914,1914
620001915,1915
620001916,1916
620001917,1917
620001918,1918
620001919,1919
620001920,1920
620001921,1921
620001922,1922
620001923,1923
620001924,1924
620001925,1925
620001926,1926
620001927,1927
620001928,1928
620001929,1929
620001930,1930
620001931,1931
620001932,1932
620001933,1933
620001934,1934
620001935,1935
620001936,1936
620001937,1937
620001938,1938
620001939,1939
620001940,1940
620001941,1941
620001942,1942
620001943,1943
620001944,1944
620001945,1945
620001946,1946
620001947,1947
620001948,1948
620001949,1949
620001950,1950
620001951,1951
620001952,1952
620001953,1953
620001954,1954
620001955,1955
620001956,1956
620001957,1957
620001958,1958
620001959,1959
620001960,1960
620001961,1961
620001962,1962
620001963,1963
620001964,1964
620001965,1965
620001966,1966
620001967,1967
620001968,1968
620001969,1969
620001970,1970
620001971,1971
620001972,1972
620001973,1973
620001974,1974
620001975,1975
620001976,1976
620001977,1977
620001978,1978
620001979,1979
620001980,1980
620001981,1981
620001982,1982
620001983,1983
620001984,1984
620001985,1985
620001986,1986
620001987,1987
620001988,1988
620001989,1989
620001990,1990
620001991,1991
620001992,1992
620001993,1993
620001994,1994
620001995,1995
620001996,1996
620001997,1997
620001998,1998
620001999,1999
620002000,2000
620002001,2001
620002002,2002
620002003,2003
620002004,2004
620002005,2005
620002006,2006
620002007,2007
620002008,2008
620002009,2009
620002010,2010
620002011,2011
620002012,2012
620002013,2013
620002014,2014
620002015,2015
620002016,2016
620002017,2017
620002018,2018
620002019,2019
620002020,2020
620002021,2021
620002022,2022
620002023,2023
620002024,2024
620002025,2025
620002026,2026
620002027,2027
620002028,2028
620002029,2029
620002030,2030
620002031,2031
620002032,2032
620002033,2033
620002034,2034
620002035,2035
620002036,2036
620002037,2037
620002038,2038
620002039,2039
620002040,2040
620002041,2041
620002042,2042
620002043,2043
620002044,2044
620002045,2045
620002046,2046
620002047,2047
620002048,2048
620002049,2049
620002050,2050
620002051,2051
620002052,2052
620002053,2053
620002054,2054
620002055,2055
620002056,2056
620002057,2057
620002058,2058
620002059,2059
620002060,2060
620002061,2061
620002062,2062
620002063,2063
620002064,2064
620002065,2065
620002066,2066
620002067,2067
620002068,2068
620002069,2069
620002070,2070
620002071,2071
620002072,2072
620002073,2073
620002074,2074
620002075,2075
620002076,2076
620002077,2077
620002078,2078
620002079,2079
620002080,2080
620002081,2081
620002082,2082
620002083,2083
620002084,2084
620002085,2085
620002086,2086
620002087,2087
620002088,2088
620002089,2089
620002090,2090
620002091,2091
620002092,2092
620002093,2093
620002094,2094
620002095,2095
620002096,2096
620002097,2097
620002098,2098
620002099,2099
620002100,2100
620002101,2101
620002102,2102
620002103,2103
620002104,2104
620002105,2105
620002106,2106
620002107,2107
620002108,2108
620002109,2109
620002110,2110
620002111,2111
620002112,2112
620002113,2113
620002114,2114
620002115,2115
620002116,2116
620002117,2117
620002118,2118
620002119,2119
620002120,2120
620002121,2121
620002122,2122
620002123,2123
620002124,2124
620002125,2125
620002126,2126
620002127,2127
620002128,2128
620002129,2129
620002130,2130
620002131,2131
620002132,2132
620002133,2133
620002134,2134
620002135,2135
620002136,2136
620002137,2137
620002138,2138
620002139,2139
620002140,2140
